No,ID,NAMA,HARGA,STOK,TERJUAL,RATING
70,,LCD LAYAR TAMPILAN IPHONE 5S / 5SE ORIGINAL FULLSET TOUCHSCREEN / LAYAR SENTUH / TC / TS - SPAREPART HP IPHONE,Rp175.000,-,-,"4,4"
71,,SPAREPART HP XIAOMI MI 4I PCB BOARD KONEKTOR PORT USB CHARGER,Rp14.900,-,-,0
72,,Konektor Sim Card Oppo F1S A59 SimCard Connector HP Conector Sparepart,Rp22.896,-,-,"4,1"
73,,Buzzer Speaker Asus Zenfone 4 5 6 LoudSpeaker Buzer Loud Sparepart HP,Rp12.528,-,-,"4,7"
74,,Konektor Sim Card Samsung i8262 i8260 SimCard HP Connector Sparepart,Rp15.684,-,-,"4,7"
75,,Flexible o/f Power Huawei Y541 Volume Tombol Vol Konektor Sparepart HP,Rp25.095,-,-,5
76,,Kamera Depan Samsung J5 2015 Front Camera Sparepart Handphone HP J500,Rp45.678,-,-,5
77,,''RODA ONLINE '' Obeng Set Multifungsi 32 in 1 With Pinset Model Kotak Toolkit SparePart HP Laptop,Rp17.500,-,-,0
78,,SPAREPART HP XIAOMI MI 4I PCB BOARD KONEKTOR PORT USB CHARGER,Rp25.000,-,-,5
79,,LCD Asus Zenfone C ZC451 Zenfone 4C Z007 Layar LCD Sparepart HP,Rp126.272,-,-,3
80,,Kaca Depan Xiaomi Redmi 5 Layar Sentuh HP Kaca LCD Sparepart Glass,Rp30.135,-,-,0
81,,IC EMMC J1 ACE J110 J110G KMF72 KMF7200012M-B214 8GB - SPAREPART HP SAMSUNG - SOLUSI ODIN MODE J1 ACE,Rp110.000,-,-,"4,5"
82,,Kaca Depan Nokia 6 TA-1000 Nokia 6 Layar Sentuh HP LCD Sparepart Glass,Rp30.135,-,-,0
83,,Kaca Depan Asus Zenfone 3 MAX ZC520TL Zenfone3 Layar HP Sparepart 3Max,Rp31.080,-,-,0
84,,TS Oppo A37 Layar Sentuh Touchscreen Sparepart HP,Rp67.315,-,-,4
85,,OBENG SET 31 IN 1 / OBENG SET TELUR MURAH MERIAH - OBENG SERVICE HP - OBENG SPAREPART,Rp17.200,-,-,-
86,,Konektor Sim Card LG E988 E980 E985 SimCard Connector HP Sparepart,Rp15.684,-,-,"4,5"
87,,TS Advan S50G Layar Sentuh HP Touchscreen Kaca Sparepart Handphone,Rp48.082,-,-,5
88,,LCD LAYAR TAMPILAN IPHONE 5S / 5SE ORIGINAL FULLSET TOUCHSCREEN / LAYAR SENTUH / TC / TS - SPAREPART HP IPHONE,Rp170.000,-,-,"4,1"
89,,Kaca Depan Samsung A750 A7 2018 Layar HP Sparepart Handphone Glass LCD,Rp30.135,-,-,0
90,,Flexible Connect LCD Samsung A50 Small Fleksibel Konektor Sparepart HP,Rp32.340,-,-,0
91,,Mic Samsung Galaxy V G313 Microphone Mikrofon Handphone Sparepart HP,Rp12.528,-,-,5
92,,FLEKSIBEL / FLEXIBLE OPPO CPH1609 F3 FULLSET KONEKTOR / CONNECTOR CHARGER USB PORT SPAREPART HP OPPO,Rp27.000,-,-,"3,7"
93,,Flexible SimCard Oppo X909 Konektor Sim Card Fleksibel Sparepart HP,Rp53.865,-,-,0
94,,LCD LAYAR TAMPILAN IPHONE 6 / IPHONE 6G FULLSET TOUCHSCREEN / LAYAR SENTUH / TC / TS - SPAREPART HP IPHONE,Rp210.000,-,-,"4,1"
95,,TS Oppo A57 Layar Sentuh Touchscreen Sparepart HP,Rp67.315,-,-,0
96,,Flexible Charger Mic LG P715 Con TC Konektor Charge Board SparePart HP,Rp58.170,-,-,0
97,,Flexible Connect LCD Samsung A20 Fleksibel Konektor Sparepart HP Con,Rp35.070,-,-,0
98,,TS Oppo Neo 7 A33W Layar Touchscreen Sparepart HP,Rp72.123,-,-,4
99,,PCB CONNECTOR BOARD CHARGER VIVO V11 Y97 KONEKTOR PORT USB CHARGER SPAREPART HP VIVO,Rp30.000,-,-,0
100,,OBENG SET PRAKTIS UNTUK BONGKAR HP - GANTI BATERAI - LCD - CASING DLL,Rp3.600,_,_,"4,8"
